LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-05-20 09:19:20,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:20,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:20,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-87, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:20,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:20,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-79, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:21,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:22,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-81, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:23,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-73, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:24,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:25,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:26,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-79, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:26,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:26,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-77, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:26,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-67, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:26,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:27,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-93, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2026-05-20 09:19:27,1900-01-00 00:00:00,Bilagg,7C:C3:85:9B:D5:E0,-75, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
